track_name,track_artist,track_id,user_id,playlist_id,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,duration_ms,popularity_binary
All I Need (feat. Beth Hirsch),Air,6T10XPeC9X5xEaD6tMcK6M,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['ambient pop', 'downtempo', 'electronica', 'indietronica', 'trip hop']",0.327,0.425,G,-11.577,0.027,0.878,0.000873,0.18,0.165,93.946,65,268306,1
The Truth,Handsome Boy Modeling School,5l7icgnicl7JToRxPkSXyy,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['alternative hip hop', 'trip hop']",0.703,0.393,D,-10.88,0.0455,0.6,6.09e-06,0.113,0.478,79.653,63,337200,1
Feet Don't Fail Me Now,Joy Crookes,1GVkrFVc94CTjm9bdSmGjp,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['alternative r&b', 'uk contemporary r&b']",0.662,0.84,F#,-3.112,0.0509,0.17,0.000226,0.155,0.568,112.914,66,198800,1
Trust the Change,Snowk,5dP49R640BUhgm94Q2jcwR,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['japanese electropop', 'japanese r&b']",0.706,0.7,B,-7.787,0.23,0.308,4.41e-06,0.38,0.503,107.988,24,201111,0
Gira da Cura,HOLY NOTHING,4b5ozXcwgdSrOq0mUbbPyD,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,['latin afrobeat'],0.653,0.896,B,-7.423,0.136,0.468,0.000173,0.0312,0.789,99.995,7,266400,0
Over [Feat. Yebba],Robert Glasper,07vCZWjQXstwOCWLG6HYdg,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['contemporary jazz', 'indie soul', 'jazz', 'modern jazz piano', 'neo r&b', 'neo soul']",0.535,0.539,A#,-8.192,0.0454,0.368,0.00237,0.115,0.229,84.669,49,295746,1
Hard Place,H.E.R.,4IablJ6SqVNGY4vrseyKxu,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['r&b', 'rap']",0.614,0.719,A,-4.694,0.0955,0.179,1.72e-05,0.163,0.34,160.075,60,271733,1
Take You Higher,LEISURE,3QtNPpwrajozNB5AORHYzP,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['auckland indie', 'indie soul']",0.787,0.51,A#,-8.306,0.0391,0.0339,0.0371,0.114,0.745,98.02,64,228853,1
Kerosene,Biig Piig,3DeaJ0aG2wFfmWh0c3bK0n,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['indie soul', 'modern alternative pop']",0.681,0.559,G#,-7.043,0.293,0.229,0.00922,0.0907,0.198,119.98,47,149840,1
A New Kind Of Fool,Gary Corben,3S8d2F4ZFI6aTZuxflfGMR,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,['nova musica carioca'],0.469,0.548,C,-10.145,0.0453,0.32,0.0661,0.244,0.962,79.066,1,220151,0
Baila Comigo,Rita Lee,0dED0PRBM0fixceBz5s4XR,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['brazilian rock', 'mpb', 'tropicalia']",0.554,0.333,A,-14.614,0.0382,0.624,0.000296,0.116,0.634,120.608,57,330866,1
Clovers,Barrie,4blV3e2rU6jkqhXt5ZATSu,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['brooklyn indie', 'indie pop']",0.703,0.572,F,-7.504,0.0274,0.0526,0.49,0.277,0.684,90.002,41,254160,0
I've Been Working,Luther Vandross,3RziSVfSZ4Ga91NKxZ7IKy,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['quiet storm', 'soul']",0.675,0.617,F,-10.291,0.0769,0.0175,0.0,0.131,0.723,134.619,35,395280,0
Right on time,Metronomy,6JJ3UK1YfxO26iEiMWUHHj,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['alternative dance', 'electronica', 'french indie pop', 'indietronica', 'neo-synthpop', 'new rave', 'socal pop punk']",0.85,0.559,C,-9.652,0.0343,0.188,0.0365,0.0976,0.946,118.011,56,224133,1
Sweet My Ear,Jembaa Groove,6wqtw6F376QgzqhYeRXwB1,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,No Genre,0.665,0.661,A,-9.107,0.0357,0.186,0.0287,0.114,0.727,105.016,41,278909,0
Want's Ta Make You Feel Good,Michal Urbaniak,5XNJbKWSDOD7xvDUA6ajwr,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['contemporary jazz', 'jazz violin', 'polish jazz']",0.585,0.585,B,-16.311,0.0724,0.231,0.0105,0.644,0.707,92.459,10,340560,0
Don't,Lily Lyons,5IWUCCibOBMdSa9expuO7C,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,No Genre,0.589,0.247,A#,-11.101,0.0336,0.794,2.82e-06,0.11,0.236,116.877,33,225773,0
Love Can't Be Borrowed,The Sextones,33JA5OUh1G6n60hGoX7213,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,No Genre,0.756,0.8,A,-6.876,0.039,0.136,0.0,0.0782,0.855,104.039,26,227640,0
I Don't Want to Talk About It,Everything But The Girl,7cE35BjpKtOIMTqsKGL8z8,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['new wave pop', 'sophisti-pop', 'trip hop']",0.308,0.332,B,-11.197,0.0306,0.78,0.00046,0.117,0.446,130.41,48,258133,1
Key to Love (Is Understanding) feat. Jonah Yano,BADBADNOTGOOD,3ZOKwVcjcHVNqnOABO0pUA,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['canadian modern jazz', 'indie soul']",0.546,0.398,F#,-9.225,0.0288,0.399,0.0262,0.11,0.442,127.307,49,354243,1
Hold Me Closer,Omar,6CDdhcakbSiuSaJJ160tsn,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['acid jazz', 'broken beat', 'indie jazz', 'neo r&b']",0.73,0.724,G,-9.477,0.054,0.0492,0.012,0.125,0.807,87.01,10,229666,0
Summatime (feat. Wale & Radiant Children),GoldLink,3NsPvsr9VrcMtAxJ50XCL9,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,['alternative r&b'],0.807,0.689,A#,-6.646,0.207,0.249,6.93e-05,0.338,0.677,95.014,44,226164,0
Do It,Tuxedo,79t0exFoQU0jlcpBLJrqes,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['indie soul', 'popping', 'synth funk']",0.818,0.858,C#,-4.219,0.0398,0.0638,0.245,0.256,0.753,119.609,53,258502,1
Try Again,Oddisee,5Fp1utsvyFfjmdA6eUVbiK,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['alternative hip hop', 'instrumental hip hop', 'sudanese pop']",0.864,0.712,A#,-10.89,0.123,0.0369,2.94e-05,0.0937,0.484,115.964,34,167317,0
I'll Get Along,Michael Kiwanuka,2QIvd2Uow99gv5kBBbtf3y,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['british soul', 'neo soul', 'psychedelic soul', 'soul']",0.657,0.54,A,-9.875,0.0232,0.415,1.74e-06,0.0809,0.673,94.258,54,206516,1
Movies,Alfie Templeman,6PHXRx0ZOrGk7OJ9C29cTm,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,['modern alternative pop'],0.849,0.711,A#,-6.664,0.0653,0.238,0.0163,0.116,0.805,129.94,60,197638,1
Destiny - Edit,Zero 7,5GekWXk9oD29NwuoVfQ6Ow,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['downtempo', 'electronica', 'trip hop']",0.649,0.627,G#,-8.145,0.0254,0.269,0.271,0.148,0.503,137.994,27,228933,0
Ain't No Fool,Various Artists,09vG61SbC1rGfg1rLSamjM,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,No Genre,0.768,0.736,A#,-6.278,0.0664,0.0946,0.000166,0.0842,0.739,112.011,2,345280,0
Watch Me Fly,Various Artists,0ULhOHKNPdNibE6rg7eWD0,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,No Genre,0.723,0.823,F,-5.555,0.0529,0.589,0.00564,0.0859,0.52,105.0,16,317666,0
Baby Your Lovin',Various Artists,0nG3cNZdxh2ramvRG5q68t,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,No Genre,0.73,0.609,C#,-6.453,0.0301,0.176,3.3e-06,0.138,0.788,98.978,18,237346,0
Crush You,Shafiq Husayn,3AFxrPHW0222y3t4dmHAJI,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['indie jazz', 'neo r&b', 'psychedelic soul']",0.837,0.445,B,-9.411,0.206,0.205,0.0234,0.662,0.658,91.037,41,256069,0
Difference,Benjamin Clementine,0doT09dfiZKhbsASMqzZGh,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,['art pop'],0.715,0.3,G#,-8.485,0.0368,0.512,0.0078,0.179,0.882,83.97,47,115043,1
The Greatest Romance Ever Sold (feat. Q-Tip) - Neptunes Extended Remix,Prince,1yI3iD3vgjpUJnN0V7gPzI,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']",0.813,0.906,C#,-3.906,0.0706,0.057,8.72e-05,0.12,0.794,90.038,19,309253,0
The Magic Number,De La Soul,4hB8J06D2ZaGkWZDOMpYZB,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']",0.781,0.661,C,-8.293,0.261,0.456,8.36e-06,0.136,0.717,120.611,55,195883,1
Eu Quero Tudo,cacique'97,02wN4iKQRKdvT92B3s62DR,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,['afrobeat fusion'],0.727,0.875,C#,-8.138,0.0429,0.00392,0.00553,0.0721,0.965,120.067,6,256293,0
One of These Mornings,Moby,2UoxRLlTWbVnH1xvXOKfrE,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['downtempo', 'electronica']",0.404,0.459,B,-8.323,0.034,0.158,0.66,0.0818,0.0475,91.323,60,192693,1
Come Together,The Internet,1l32mo5oW5oIRRjNnVJBNR,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['alternative r&b', 'lgbtq+ hip hop']",0.684,0.564,C,-8.45,0.0432,0.363,0.332,0.118,0.52,96.357,50,220586,1
Theme For A Latter-day Lothario,Dr Rubberfunk,4juZvlJrCcfEjUjACpRecy,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['bboy', 'funky breaks', 'instrumental funk']",0.508,0.705,F#,-8.909,0.333,0.161,1.77e-06,0.242,0.627,156.076,7,236373,0
Keep It Rising,Supershy,3vpHZrlh4SUvVNIqs9tMVN,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,No Genre,0.868,0.586,E,-9.35,0.109,0.184,0.202,0.087,0.564,120.034,60,194962,1
You're the Kind of Girl,Lee Fields,56z22nh9bb2tkWpvdPXlza,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['funk', 'southern soul']",0.662,0.761,C#,-6.476,0.0572,0.171,0.0,0.123,0.525,98.293,35,241026,0
Lover/Friend,KAYTRANADA,5ahq8vkzMznGmfN2EVOukP,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",0.727,0.733,G#,-9.81,0.215,0.0144,0.000415,0.0481,0.586,105.134,70,212250,1
Massai Woman,Bobby Konders,2LYZ1hp6RwDNF2UpWWS0Yw,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,['acid house'],0.843,0.507,G,-11.904,0.0497,0.0028,0.692,0.183,0.0338,123.832,11,490573,0
Yebba’s Heartbreak,Drake,1PDP7mLiAMwhfmgIwzhOm2,anaserrogomes,1HCovMpnJElpvU6UendWng,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.476,0.161,G#,-11.665,0.0407,0.967,0.0381,0.109,0.0908,119.614,83,133762,1
Next Lifetime,Erykah Badu,6sIMSl1n3KDPr03Fw8mujd,anaserrogomes,1HCovMpnJElpvU6UendWng,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",0.643,0.413,G#,-11.929,0.0565,0.129,0.00105,0.0949,0.339,130.026,65,386626,1
NOS SOLTAMOS chiliado,Divino Niño,3TIpyCI4AWifaJdIlNmTdv,anaserrogomes,1HCovMpnJElpvU6UendWng,['indie shoegaze'],0.633,0.76,F#,-6.49,0.0331,0.19,0.433,0.374,0.182,96.714,47,222806,1
Nights,Frank Ocean,4Jle0Cjj88YkM7jbAjiFjf,anaserrogomes,1HCovMpnJElpvU6UendWng,"['lgbtq+ hip hop', 'neo soul']",0.457,0.553,F,-9.345,0.162,0.418,1.22e-06,0.113,0.448,89.905,0,307151,0
Silver Soul,Beach House,56eSclzdXaWU5jOJ7DX7Vp,anaserrogomes,1HCovMpnJElpvU6UendWng,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']",0.354,0.675,D,-5.835,0.0324,0.439,8.55e-05,0.28,0.108,135.034,68,298680,1
Betcha Wouldn't Hurt Me - Extended Version,Quincy Jones,4WvU1mDTPDRJ349kqLK9OH,anaserrogomes,1HCovMpnJElpvU6UendWng,['soul jazz'],0.821,0.627,C#,-15.438,0.0455,0.263,0.000544,0.103,0.911,110.831,39,226766,0
A Night Like This,The Cure,5AQqtXvhgDKl3v4JzkdEsG,anaserrogomes,1HCovMpnJElpvU6UendWng,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",0.634,0.868,F#,-6.858,0.0287,0.00867,0.00656,0.205,0.655,121.955,58,256320,1
A Hero's Death,Fontaines D.C.,0sxx8bEWlTBmbw0X1Abgc3,anaserrogomes,1HCovMpnJElpvU6UendWng,"['crank wave', 'irish indie rock', 'irish post-punk']",0.302,0.917,D,-4.131,0.071,0.00491,0.0,0.129,0.442,197.964,48,258252,1
Filmstar (Remastered),Suede,4w0lTLLyrmn9aJTOOBNY9b,anaserrogomes,1HCovMpnJElpvU6UendWng,['britpop'],0.375,0.974,D#,-5.28,0.117,0.00312,5.17e-05,0.0814,0.538,151.101,30,205453,0
Age Of Ascent,Kokoroko,5BOkALb3jw3m6SONNtBYRR,anaserrogomes,1HCovMpnJElpvU6UendWng,"['british jazz', 'indie soul']",0.609,0.485,G#,-11.053,0.04,0.16,0.843,0.11,0.483,92.065,46,298533,1
Hold the Line,TOTO,4aVuWgvD0X63hcOCnZtNFA,anaserrogomes,1HCovMpnJElpvU6UendWng,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.473,0.898,F#,-4.797,0.0561,0.00783,0.0618,0.173,0.808,96.556,84,235546,1
Roy's Tune,Fontaines D.C.,5ZrjSdHy4o6kLNejvlthgx,anaserrogomes,1HCovMpnJElpvU6UendWng,"['crank wave', 'irish indie rock', 'irish post-punk']",0.685,0.485,E,-7.585,0.0302,0.212,2.2e-05,0.131,0.882,122.921,48,180275,1
Gone Away Again,Rogér Fakhr,2LHfvXx92f9HAYV146h6TE,anaserrogomes,1HCovMpnJElpvU6UendWng,"['arab groove', 'lebanese indie']",0.569,0.782,E,-9.102,0.151,0.342,0.00652,0.15,0.973,147.929,47,165604,1
Vital Signs - Tame Impala Cover,Midnight Juggernauts,1FsPinqSsFnPIKXfm8SHJM,anaserrogomes,1HCovMpnJElpvU6UendWng,"['alternative dance', 'dance-punk', 'electrofox', 'filter house', 'neo-synthpop', 'new rave']",0.557,0.612,C#,-9.039,0.0363,0.00995,2.66e-05,0.0883,0.262,120.986,36,317563,0
Taxi’s Here,Tame Impala,1T5tDibcj3AmFmPxYGm6vp,anaserrogomes,1HCovMpnJElpvU6UendWng,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",0.571,0.568,G,-6.969,0.0316,0.621,0.513,0.0687,0.431,101.001,51,287306,1
Black Qualls,Thundercat,7qaQK6Eatz1KQFs1VZx2YR,anaserrogomes,1HCovMpnJElpvU6UendWng,"['afrofuturism', 'escape room', 'indie soul']",0.618,0.669,G,-7.457,0.0359,0.535,0.0,0.577,0.789,97.0,60,189818,1
You Are Going to Love Me and Scream,Against All Logic,2QsfxsDvbnxw0WVOmez2Ks,anaserrogomes,1HCovMpnJElpvU6UendWng,"['electronica', 'experimental hip hop']",0.761,0.76,G#,-10.034,0.075,0.132,0.773,0.126,0.214,124.983,32,335207,0
Silent Running (feat. Adeleye Omotayo),Gorillaz,0ZGWe02EtMpw40QAzOVZD1,anaserrogomes,1HCovMpnJElpvU6UendWng,"['alternative hip hop', 'modern rock', 'rock']",0.659,0.901,G#,-3.549,0.0359,0.0614,9.17e-05,0.182,0.776,106.997,66,266338,1
Tormenta (feat. Bad Bunny),Gorillaz,38UYeBLfvpnDSG9GznZdnL,anaserrogomes,1HCovMpnJElpvU6UendWng,"['alternative hip hop', 'modern rock', 'rock']",0.637,0.768,C,-6.468,0.056,0.458,0.00192,0.378,0.297,94.982,73,193463,1
Opium (feat. EARTHGANG),Gorillaz,4jNs9cJBsFTiahZAe3iuwV,anaserrogomes,1HCovMpnJElpvU6UendWng,"['alternative hip hop', 'modern rock', 'rock']",0.682,0.847,B,-8.58,0.0612,0.216,0.168,0.0849,0.813,120.002,46,410801,1
"Don't Call It Love - 12"" Version",Zero 7,2ikT7zgIJYBcpchNseRmka,anaserrogomes,1HCovMpnJElpvU6UendWng,"['downtempo', 'electronica', 'trip hop']",0.821,0.529,A#,-8.758,0.0349,0.0556,0.0744,0.152,0.941,118.023,50,385986,1
I Love You,Fontaines D.C.,4N8idxy0W2GDaEosAwPOMg,anaserrogomes,1HCovMpnJElpvU6UendWng,"['crank wave', 'irish indie rock', 'irish post-punk']",0.633,0.771,E,-7.207,0.0319,0.089,0.0,0.0679,0.375,114.032,65,305800,1
Heart To Heart,Mac DeMarco,7EAMXbLcL0qXmciM5SwMh2,anaserrogomes,1HCovMpnJElpvU6UendWng,"['edmonton indie', 'lo-fi indie', 'pov: indie']",0.901,0.136,G#,-16.127,0.102,0.667,0.354,0.109,0.643,150.076,87,211140,1
Love/Paranoia,Tame Impala,5h9hkYIBWTZYFRmF6Iz1gt,anaserrogomes,1HCovMpnJElpvU6UendWng,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",0.502,0.699,F,-5.528,0.0333,0.0055,0.0,0.171,0.354,111.024,68,185773,1
dark days,21 Savage,02Cp3VTUWNed8hr69BhKz6,anaserrogomes,1HCovMpnJElpvU6UendWng,"['atl hip hop', 'hip hop', 'rap']",0.685,0.582,D,-5.335,0.161,0.229,1.47e-05,0.139,0.136,82.343,81,295072,1
Pulsewidth,Aphex Twin,643gyipSU7dkmrFhJ8UAIm,anaserrogomes,0C938vqeReTMBKmjtQ6Xdj,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",0.765,0.486,C#,-14.671,0.0724,0.42,0.876,0.332,0.303,119.319,58,228053,1
QKThr,Aphex Twin,4LIM4qmpHABufePRrLWbiM,anaserrogomes,0C938vqeReTMBKmjtQ6Xdj,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",0.451,0.0223,C#,-26.117,0.0461,0.993,0.768,0.13,0.0573,79.042,74,87466,1
Alberto Balsalm,Aphex Twin,6gbmylJ7sB7NFfMfTQHosf,anaserrogomes,0C938vqeReTMBKmjtQ6Xdj,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",0.791,0.599,D#,-13.648,0.145,0.315,0.928,0.111,0.57,93.988,60,310746,1
Ptolemy,Aphex Twin,23HiOySFOnPUXTJWnc5tAb,anaserrogomes,0C938vqeReTMBKmjtQ6Xdj,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",0.765,0.726,C#,-11.121,0.0459,0.000199,0.935,0.108,0.314,117.268,48,434306,1
Xtal,Aphex Twin,7o2AeQZzfCERsRmOM86EcB,anaserrogomes,0C938vqeReTMBKmjtQ6Xdj,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",0.51,0.505,A,-13.053,0.0344,0.342,0.96,0.117,0.318,114.532,63,293751,1
Bbydhyonchord,Aphex Twin,0lLCH4mtQQYp6ASyJqhzgN,anaserrogomes,0C938vqeReTMBKmjtQ6Xdj,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",0.804,0.447,A#,-9.769,0.0938,0.666,0.96,0.143,0.883,122.973,48,153320,1
Windowlicker,Aphex Twin,409z4jUHpq7eIkg3N3FzZh,anaserrogomes,0C938vqeReTMBKmjtQ6Xdj,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",0.696,0.775,A#,-5.097,0.142,0.132,0.00879,0.37,0.474,123.023,57,365640,1
Waterloo Sunset,Various Artists,4TuvM1n4SkUZLEwAjdgXB9,anaserrogomes,2IFhZRlzC9Piiryuivp69I,No Genre,0.399,0.631,D,-10.099,0.0452,0.505,0.0,0.979,0.543,97.748,31,159973,0
1539 N. Calvert,JPEGMAFIA,6XyxCBp6x3jvtxXvMN5sAA,anaserrogomes,2IFhZRlzC9Piiryuivp69I,"['alternative hip hop', 'experimental hip hop', 'industrial hip hop', 'underground hip hop']",0.863,0.717,E,-3.143,0.17,0.278,0.0826,0.0991,0.357,152.05,63,157258,1
The Ballad,Blur,7l6hvTRyX52kg6q4zNIfQA,anaserrogomes,2IFhZRlzC9Piiryuivp69I,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",0.6,0.63,B,-7.505,0.0422,0.402,0.00232,0.121,0.567,133.942,53,216599,1
November,"Tyler, The Creator",4XDpeWqPADoWRKcUY3dC84,anaserrogomes,2IFhZRlzC9Piiryuivp69I,"['hip hop', 'rap']",0.547,0.759,C#,-7.039,0.413,0.354,2.15e-05,0.676,0.575,91.85,66,225346,1
Je Sto Vicino A Te - Remastered 2008,Pino Daniele,1csPYKA1NW1s21MwUj9Ay5,anaserrogomes,2IFhZRlzC9Piiryuivp69I,"[""canzone d'autore"", 'canzone napoletana', 'classic italian pop', 'folk rock italiano', 'italian adult pop']",0.659,0.764,B,-4.704,0.032,0.647,0.00517,0.0956,0.724,112.681,49,222586,1
The Everglades (For Leonard),Blur,5TztAWoMbNwmAxMR7sNpjD,anaserrogomes,2IFhZRlzC9Piiryuivp69I,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",0.544,0.423,E,-11.112,0.0304,0.489,0.116,0.211,0.262,120.008,48,176375,1
I Saw the Light - 2015 Remaster,Todd Rundgren,5uRkew0DtfAQmv0oEYNwFF,anaserrogomes,2IFhZRlzC9Piiryuivp69I,"['art rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'philly soul', 'power pop', 'singer-songwriter', 'soft rock', 'zolo']",0.504,0.673,C,-11.834,0.0336,0.214,2.29e-06,0.171,0.581,120.418,1,180280,0
Diamond Eyes,Inner Wave,3OCwx9s1Ewo0cnhnAAAapL,anaserrogomes,2IFhZRlzC9Piiryuivp69I,['indie garage rock'],0.738,0.586,E,-7.309,0.0338,0.345,0.921,0.305,0.217,104.007,41,316220,0
The Entertaining Of A Shy Girl,Donovan,0phT9WYvak5mt0lLe9nuKP,anaserrogomes,2IFhZRlzC9Piiryuivp69I,"['british folk', 'british invasion', 'classic rock', 'folk', 'folk rock', 'glam rock', 'psychedelic folk', 'psychedelic rock', 'scottish singer-songwriter', 'singer-songwriter']",0.414,0.0827,G,-22.646,0.0545,0.928,0.782,0.128,0.308,73.346,46,99240,1
Flim,Aphex Twin,3JJ4BoL9WVHk4Yye2EGJC7,anaserrogomes,2IFhZRlzC9Piiryuivp69I,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",0.71,0.734,C,-14.932,0.052,0.513,0.836,0.0701,0.4,147.98,60,177093,1
